method,n,clip_t,clip_target_minus_source,clip_direction_similarity,clip_image_source_similarity,dino_source_similarity,lpips_full,lpips_edit,lpips_bg,source_l1,source_l1_edit,source_l1_bg,source_ssim_luma,source_ssim_luma_edit,source_ssim_luma_bg
fireflow,118,0.3136266161829738,0.06592667178582337,0.2513066872764947,0.7638383091001187,0.6334279887693919,0.31843462744254175,0.0,0.0,0.07391237214965335,0.0,0.0,0.7311642817588155,0.0,0.0
flowedit_flux,118,0.30432979560504525,0.05843500035294032,0.2641210459425288,0.8214198088241835,0.7145170531535553,0.252857784030296,0.0,0.0,0.07161456325991174,0.0,0.0,0.7960726104836948,0.0,0.0
flowedit_sd3,118,0.3072400045091823,0.06538770676164304,0.2871419194359648,0.814145704952337,0.7151262054251413,0.19082692458089126,0.0,0.0,0.05313008636930736,0.0,0.0,0.8352205549730716,0.0,0.0
reflex,118,0.3078888298596366,0.06156368578894664,0.2690415706296088,0.8028715141748978,0.6935676141815671,0.25049463268053734,0.0,0.0,0.06278709453230692,0.0,0.0,0.7221653776128301,0.0,0.0
rf_solver_edit,118,0.3041014878426568,0.057866969982446254,0.24730027299690044,0.7911463213168969,0.7009595742733297,0.259361919015646,0.0,0.0,0.05094878615464194,0.0,0.0,0.7856542256492585,0.0,0.0
sam_flow_flux,118,0.2849251733998121,0.03683598415326264,0.23576002733750365,0.8689330695039135,0.8141101987685188,0.08829771465290401,0.0,0.0,0.0338868202357474,0.0,0.0,0.9017366086074079,0.0,0.0
sam_flow_sd3,118,0.3135251933235233,0.08008186822220431,0.32083853331031437,0.8083684727296991,0.6909356687407372,0.16224554755677612,0.0,0.0,0.05073815516306687,0.0,0.0,0.8245848349122551,0.0,0.0
splitflow_sd3,118,0.31075321996616107,0.07145301732471433,0.30253368666616537,0.8129958126504543,0.7142403851878845,0.19063550211741762,0.0,0.0,0.05290579298605858,0.0,0.0,0.8350023853144487,0.0,0.0
dece_rf_flux,118,0.28246423589476083,0.027957611164804233,0.22302680142949952,0.8730457657474583,0.8083410811752586,0.0865107054222312,0.0,0.0,0.02816163939897413,0.0,0.0,0.9114485655341187,0.0,0.0
dece_rf_sd3,118,0.28762376750424756,0.03433767074750642,0.21150674761699165,0.8549063301692574,0.8029631491182214,0.11662254171935305,0.0,0.0,0.034820951489826384,0.0,0.0,0.874309665341109,0.0,0.0
